"            Time" , "            CO2"
"1765-01-01 00:00" ,       277.91299
"1766-01-01 00:00" ,       277.95801
"1767-01-01 00:00" ,       278.01700
"1768-01-01 00:00" ,       278.07800
"1769-01-01 00:00" ,       278.13501
"1770-01-01 00:00" ,       278.19400
"1771-01-01 00:00" ,       278.26999
"1772-01-01 00:00" ,       278.33401
"1773-01-01 00:00" ,       278.41199
"1774-01-01 00:00" ,       278.49100
"1775-01-01 00:00" ,       278.58600
"1776-01-01 00:00" ,       278.68301
"1777-01-01 00:00" ,       278.77399
"1778-01-01 00:00" ,       278.86600
"1779-01-01 00:00" ,       278.95901
"1780-01-01 00:00" ,       279.05399
"1781-01-01 00:00" ,       279.14499
"1782-01-01 00:00" ,       279.24301
"1783-01-01 00:00" ,       279.34000
"1784-01-01 00:00" ,       279.43399
"1785-01-01 00:00" ,       279.53201
"1786-01-01 00:00" ,       279.62900
"1787-01-01 00:00" ,       279.72900
"1788-01-01 00:00" ,       279.83099
"1789-01-01 00:00" ,       279.93301
"1790-01-01 00:00" ,       280.03699
"1791-01-01 00:00" ,       280.14099
"1792-01-01 00:00" ,       280.24100
"1793-01-01 00:00" ,       280.33200
"1794-01-01 00:00" ,       280.41501
"1795-01-01 00:00" ,       280.49200
"1796-01-01 00:00" ,       280.55499
"1797-01-01 00:00" ,       280.62299
"1798-01-01 00:00" ,       280.68201
"1799-01-01 00:00" ,       280.75299
"1800-01-01 00:00" ,       280.83401
"1801-01-01 00:00" ,       280.91901
"1802-01-01 00:00" ,       280.99399
"1803-01-01 00:00" ,       281.07300
"1804-01-01 00:00" ,       281.15701
"1805-01-01 00:00" ,       281.23401
"1806-01-01 00:00" ,       281.32199
"1807-01-01 00:00" ,       281.40900
"1808-01-01 00:00" ,       281.49600
"1809-01-01 00:00" ,       281.56601
"1810-01-01 00:00" ,       281.64801
"1811-01-01 00:00" ,       281.71799
"1812-01-01 00:00" ,       281.79001
"1813-01-01 00:00" ,       281.85800
"1814-01-01 00:00" ,       281.93100
"1815-01-01 00:00" ,       281.99200
"1816-01-01 00:00" ,       282.05899
"1817-01-01 00:00" ,       282.12701
"1818-01-01 00:00" ,       282.20001
"1819-01-01 00:00" ,       282.27200
"1820-01-01 00:00" ,       282.34601
"1821-01-01 00:00" ,       282.41501
"1822-01-01 00:00" ,       282.47699
"1823-01-01 00:00" ,       282.54001
"1824-01-01 00:00" ,       282.61801
"1825-01-01 00:00" ,       282.67599
"1826-01-01 00:00" ,       282.69299
"1827-01-01 00:00" ,       282.69299
"1828-01-01 00:00" ,       282.70801
"1829-01-01 00:00" ,       282.76099
"1830-01-01 00:00" ,       282.82501
"1831-01-01 00:00" ,       282.89099
"1832-01-01 00:00" ,       282.92200
"1833-01-01 00:00" ,       282.96600
"1834-01-01 00:00" ,       283.02802
"1835-01-01 00:00" ,       283.08600
"1836-01-01 00:00" ,       283.14899
"1837-01-01 00:00" ,       283.19800
"1838-01-01 00:00" ,       283.25299
"1839-01-01 00:00" ,       283.31100
"1840-01-01 00:00" ,       283.38199
"1841-01-01 00:00" ,       283.46701
"1842-01-01 00:00" ,       283.52798
"1843-01-01 00:00" ,       283.56601
"1844-01-01 00:00" ,       283.60901
"1845-01-01 00:00" ,       283.72501
"1846-01-01 00:00" ,       283.84698
"1847-01-01 00:00" ,       283.93600
"1848-01-01 00:00" ,       284.06799
"1849-01-01 00:00" ,       284.20700
"1850-01-01 00:00" ,       284.31699
"1851-01-01 00:00" ,       284.45099
"1852-01-01 00:00" ,       284.59799
"1853-01-01 00:00" ,       284.73099
"1854-01-01 00:00" ,       284.84601
"1855-01-01 00:00" ,       284.94101
"1856-01-01 00:00" ,       285.04901
"1857-01-01 00:00" ,       285.20401
"1858-01-01 00:00" ,       285.36899
"1859-01-01 00:00" ,       285.54501
"1860-01-01 00:00" ,       285.73901
"1861-01-01 00:00" ,       285.93301
"1862-01-01 00:00" ,       286.10001
"1863-01-01 00:00" ,       286.27100
"1864-01-01 00:00" ,       286.44199
"1865-01-01 00:00" ,       286.61401
"1866-01-01 00:00" ,       286.78101
"1867-01-01 00:00" ,       286.95499
"1868-01-01 00:00" ,       287.10501
"1869-01-01 00:00" ,       287.22501
"1870-01-01 00:00" ,       287.35501
"1871-01-01 00:00" ,       287.49399
"1872-01-01 00:00" ,       287.66400
"1873-01-01 00:00" ,       287.85999
"1874-01-01 00:00" ,       288.06100
"1875-01-01 00:00" ,       288.29099
"1876-01-01 00:00" ,       288.51999
"1877-01-01 00:00" ,       288.75201
"1878-01-01 00:00" ,       288.99301
"1879-01-01 00:00" ,       289.22101
"1880-01-01 00:00" ,       289.47000
"1881-01-01 00:00" ,       289.73700
"1882-01-01 00:00" ,       290.01901
"1883-01-01 00:00" ,       290.26300
"1884-01-01 00:00" ,       290.51199
"1885-01-01 00:00" ,       290.79700
"1886-01-01 00:00" ,       291.10001
"1887-01-01 00:00" ,       291.41400
"1888-01-01 00:00" ,       291.76300
"1889-01-01 00:00" ,       292.11301
"1890-01-01 00:00" ,       292.45801
"1891-01-01 00:00" ,       292.81601
"1892-01-01 00:00" ,       293.16699
"1893-01-01 00:00" ,       293.47699
"1894-01-01 00:00" ,       293.79099
"1895-01-01 00:00" ,       294.07901
"1896-01-01 00:00" ,       294.36499
"1897-01-01 00:00" ,       294.64600
"1898-01-01 00:00" ,       294.95401
"1899-01-01 00:00" ,       295.29999
"1900-01-01 00:00" ,       295.67499
"1901-01-01 00:00" ,       296.00699
"1902-01-01 00:00" ,       296.32501
"1903-01-01 00:00" ,       296.65399
"1904-01-01 00:00" ,       296.95401
"1905-01-01 00:00" ,       297.28900
"1906-01-01 00:00" ,       297.66199
"1907-01-01 00:00" ,       298.09799
"1908-01-01 00:00" ,       298.51801
"1909-01-01 00:00" ,       298.93600
"1910-01-01 00:00" ,       299.37698
"1911-01-01 00:00" ,       299.82898
"1912-01-01 00:00" ,       300.35300
"1913-01-01 00:00" ,       300.91000
"1914-01-01 00:00" ,       301.41898
"1915-01-01 00:00" ,       301.93698
"1916-01-01 00:00" ,       302.48499
"1917-01-01 00:00" ,       303.01099
"1918-01-01 00:00" ,       303.44897
"1919-01-01 00:00" ,       303.81400
"1920-01-01 00:00" ,       304.24600
"1921-01-01 00:00" ,       304.59998
"1922-01-01 00:00" ,       304.94498
"1923-01-01 00:00" ,       305.27100
"1924-01-01 00:00" ,       305.62997
"1925-01-01 00:00" ,       305.81299
"1926-01-01 00:00" ,       305.95398
"1927-01-01 00:00" ,       306.17697
"1928-01-01 00:00" ,       306.32898
"1929-01-01 00:00" ,       306.49500
"1930-01-01 00:00" ,       306.62000
"1931-01-01 00:00" ,       306.82199
"1932-01-01 00:00" ,       307.09299
"1933-01-01 00:00" ,       307.40198
"1934-01-01 00:00" ,       307.78497
"1935-01-01 00:00" ,       308.22699
"1936-01-01 00:00" ,       309.01199
"1937-01-01 00:00" ,       309.76398
"1938-01-01 00:00" ,       310.29398
"1939-01-01 00:00" ,       310.85098
"1940-01-01 00:00" ,       311.35696
"1941-01-01 00:00" ,       311.81097
"1942-01-01 00:00" ,       312.17197
"1943-01-01 00:00" ,       312.38998
"1944-01-01 00:00" ,       312.41296
"1945-01-01 00:00" ,       312.38498
"1946-01-01 00:00" ,       312.38998
"1947-01-01 00:00" ,       312.48596
"1948-01-01 00:00" ,       312.52097
"1949-01-01 00:00" ,       312.63196
"1950-01-01 00:00" ,       312.82098
"1951-01-01 00:00" ,       313.01398
"1952-01-01 00:00" ,       313.34198
"1953-01-01 00:00" ,       313.72998
"1954-01-01 00:00" ,       314.09497
"1955-01-01 00:00" ,       314.41498
"1956-01-01 00:00" ,       314.69797
"1957-01-01 00:00" ,       314.99197
"1958-01-01 00:00" ,       315.34497
"1959-01-01 00:00" ,       315.80698
"1960-01-01 00:00" ,       316.62497
"1961-01-01 00:00" ,       317.29895
"1962-01-01 00:00" ,       318.04398
"1963-01-01 00:00" ,       318.64996
"1964-01-01 00:00" ,       319.33295
"1965-01-01 00:00" ,       319.81595
"1966-01-01 00:00" ,       320.87997
"1967-01-01 00:00" ,       321.47995
"1968-01-01 00:00" ,       322.38895
"1969-01-01 00:00" ,       323.25095
"1970-01-01 00:00" ,       324.78296
"1971-01-01 00:00" ,       325.39996
"1972-01-01 00:00" ,       327.34897
"1973-01-01 00:00" ,       329.90897
"1974-01-01 00:00" ,       330.75595
"1975-01-01 00:00" ,       330.82697
"1976-01-01 00:00" ,       331.54495
"1977-01-01 00:00" ,       333.35294
"1978-01-01 00:00" ,       335.00995
"1979-01-01 00:00" ,       336.60495
"1980-01-01 00:00" ,       338.70496
"1981-01-01 00:00" ,       340.05896
"1982-01-01 00:00" ,       340.64395
"1983-01-01 00:00" ,       342.26596
"1984-01-01 00:00" ,       344.00793
"1985-01-01 00:00" ,       345.45895
"1986-01-01 00:00" ,       346.90295
"1987-01-01 00:00" ,       348.77493
"1988-01-01 00:00" ,       351.27594
"1989-01-01 00:00" ,       352.89392
"1990-01-01 00:00" ,       354.07294
"1991-01-01 00:00" ,       355.35294
"1992-01-01 00:00" ,       356.22894
"1993-01-01 00:00" ,       356.92496
"1994-01-01 00:00" ,       358.25397
"1995-01-01 00:00" ,       360.23895
"1996-01-01 00:00" ,       362.00497
"1997-01-01 00:00" ,       363.25195
"1998-01-01 00:00" ,       365.93295
"1999-01-01 00:00" ,       367.84497
"2000-01-01 00:00" ,       369.12497
"2001-01-01 00:00" ,       370.67300
"2002-01-01 00:00" ,       372.83499
"2003-01-01 00:00" ,       375.41098
"2004-01-01 00:00" ,       376.98700
"2005-01-01 00:00" ,       378.90701
"2006-01-01 00:00" ,       381.01001
"2007-01-01 00:00" ,       382.60303
"2008-01-01 00:00" ,       384.73901
"2009-01-01 00:00" ,       386.28003
"2010-01-01 00:00" ,       388.71704
"2011-01-01 00:00" ,       390.94400
"2012-01-01 00:00" ,       393.01599
"2013-01-01 00:00" ,       395.72498
"2014-01-01 00:00" ,       397.54697
